Fit_max,IM_max,Ld,RW
27,30,-0.3999999999999959,1.1
25,34,-0.19999999999999574,1.1
31,23,4.440892098500626e-15,1.1
26,25,0.20000000000000462,1.1
27,27,0.4000000000000048,1.1
30,24,0.600000000000005,1.1
25,27,0.8000000000000052,1.1
29,23,1.0000000000000053,1.1
29,19,1.2000000000000055,1.1
28,23,1.4000000000000057,1.1
26,21,1.6000000000000059,1.1
27,20,1.800000000000006,1.1
29,26,2.000000000000006,1.1
26,32,2.2000000000000064,1.1
25,32,2.4000000000000066,1.1
28,31,2.6000000000000068,1.1
30,24,2.800000000000007,1.1
30,34,3.000000000000007,1.1
29,37,3.2000000000000064,1.1
25,23,3.4000000000000075,1.1
25,25,3.6000000000000085,1.1
31,31,3.800000000000008,1.1
23,34,4.000000000000007,1.1
26,23,4.200000000000008,1.1
28,25,4.400000000000009,1.1
23,15,4.6000000000000085,1.1
28,24,4.800000000000008,1.1
29,23,5.000000000000009,1.1
24,29,-5.0,1.2000000000000002
21,16,-4.8,1.2000000000000002
21,21,-4.6,1.2000000000000002
23,21,-4.3999999999999995,1.2000000000000002
26,29,-4.199999999999999,1.2000000000000002
25,20,-3.999999999999999,1.2000000000000002
22,23,-3.799999999999999,1.2000000000000002
23,29,-3.5999999999999988,1.2000000000000002
22,21,-3.3999999999999986,1.2000000000000002
14,25,-3.1999999999999984,1.2000000000000002
23,20,-2.9999999999999982,1.2000000000000002
27,29,-2.799999999999998,1.2000000000000002
25,27,-2.599999999999998,1.2000000000000002
26,26,-2.3999999999999977,1.2000000000000002
15,21,-2.1999999999999975,1.2000000000000002
18,20,-1.9999999999999973,1.2000000000000002
23,25,-1.7999999999999972,1.2000000000000002
25,26,-1.599999999999997,1.2000000000000002
24,19,-1.3999999999999968,1.2000000000000002
21,23,-1.1999999999999966,1.2000000000000002
18,14,-0.9999999999999964,1.2000000000000002
25,26,-0.7999999999999963,1.2000000000000002
23,30,-0.5999999999999961,1.2000000000000002
22,25,-0.3999999999999959,1.2000000000000002
21,17,-0.19999999999999574,1.2000000000000002
23,21,4.440892098500626e-15,1.2000000000000002
24,15,0.20000000000000462,1.2000000000000002
24,27,0.4000000000000048,1.2000000000000002
19,18,0.600000000000005,1.2000000000000002
23,27,0.8000000000000052,1.2000000000000002
23,22,1.0000000000000053,1.2000000000000002
19,29,1.2000000000000055,1.2000000000000002
19,21,1.4000000000000057,1.2000000000000002
19,24,1.6000000000000059,1.2000000000000002
27,26,1.800000000000006,1.2000000000000002
23,20,2.000000000000006,1.2000000000000002
19,21,2.2000000000000064,1.2000000000000002
26,33,2.4000000000000066,1.2000000000000002
23,23,2.6000000000000068,1.2000000000000002
23,23,2.800000000000007,1.2000000000000002
21,23,3.000000000000007,1.2000000000000002
21,24,3.2000000000000064,1.2000000000000002
20,28,3.4000000000000075,1.2000000000000002
22,30,3.6000000000000085,1.2000000000000002
20,28,3.800000000000008,1.2000000000000002
25,20,4.000000000000007,1.2000000000000002
23,23,4.200000000000008,1.2000000000000002
22,23,4.400000000000009,1.2000000000000002
22,32,4.6000000000000085,1.2000000000000002
25,25,4.800000000000008,1.2000000000000002
25,25,5.000000000000009,1.2000000000000002
22,28,-5.0,1.3000000000000003
18,22,-4.8,1.3000000000000003
21,19,-4.6,1.3000000000000003
17,26,-4.3999999999999995,1.3000000000000003
22,23,-4.199999999999999,1.3000000000000003
22,21,-3.999999999999999,1.3000000000000003
20,18,-3.799999999999999,1.3000000000000003
14,16,-3.5999999999999988,1.3000000000000003
14,22,-3.3999999999999986,1.3000000000000003
15,15,-3.1999999999999984,1.3000000000000003
18,21,-2.9999999999999982,1.3000000000000003
20,23,-2.799999999999998,1.3000000000000003
14,18,-2.599999999999998,1.3000000000000003
18,16,-2.3999999999999977,1.3000000000000003
19,19,-2.1999999999999975,1.3000000000000003
18,18,-1.9999999999999973,1.3000000000000003
23,24,-1.7999999999999972,1.3000000000000003
19,14,-1.599999999999997,1.3000000000000003
17,21,-1.3999999999999968,1.3000000000000003
19,28,-1.1999999999999966,1.3000000000000003
17,24,-0.9999999999999964,1.3000000000000003
18,18,-0.7999999999999963,1.3000000000000003
21,20,-0.5999999999999961,1.3000000000000003
15,16,-0.3999999999999959,1.3000000000000003
20,20,-0.19999999999999574,1.3000000000000003
19,18,4.440892098500626e-15,1.3000000000000003
15,20,0.20000000000000462,1.3000000000000003
16,22,0.4000000000000048,1.3000000000000003
14,23,0.600000000000005,1.3000000000000003
16,14,0.8000000000000052,1.3000000000000003
21,28,1.0000000000000053,1.3000000000000003
16,15,1.2000000000000055,1.3000000000000003
19,28,1.4000000000000057,1.3000000000000003
14,18,1.6000000000000059,1.3000000000000003
20,22,1.800000000000006,1.3000000000000003
19,16,2.000000000000006,1.3000000000000003
20,25,2.2000000000000064,1.3000000000000003
14,18,2.4000000000000066,1.3000000000000003
20,22,2.6000000000000068,1.3000000000000003
16,21,2.800000000000007,1.3000000000000003
17,20,3.000000000000007,1.3000000000000003
14,14,3.2000000000000064,1.3000000000000003
17,14,3.4000000000000075,1.3000000000000003
18,17,3.6000000000000085,1.3000000000000003
19,17,3.800000000000008,1.3000000000000003
