,MJD,Steered Frequencies
104,60147.041666666664,2.510550511678791e-15
105,60147.083333333336,1.6677830920878378e-16
106,60147.125,3.12720631122739e-15
107,60147.166666666664,-5.2127596190567424e-15
108,60147.208333333336,-1.8147914574499308e-15
109,60147.25,4.440192023625398e-15
110,60147.291666666664,2.7589032041442154e-16
111,60147.333333333336,5.8682772824711625e-15
112,60147.375,4.770984930368867e-15
113,60147.416666666664,8.904080890842466e-16
114,60147.458333333336,1.1251623403292491e-15
115,60147.5,2.667282405583024e-15
116,60147.541666666664,2.9048144701926287e-15
117,60147.583333333336,1.5991969595239542e-15
118,60147.625,1.5557228148627881e-15
119,60147.666666666664,5.526492783223377e-15
120,60147.708333333336,3.5136098260699146e-15
121,60147.75,-1.339098482678333e-15
122,60147.791666666664,4.547241442551402e-15
123,60147.833333333336,5.339281829548204e-15
124,60147.875,-1.0632039879679978e-14
125,60147.916666666664,-1.7303904018568256e-15
126,60148.0,3.301390406556113e-15
127,60148.041666666664,2.1246952138156934e-16
128,60148.083333333336,7.1006291895306e-15
129,60148.125,9.73275362033094e-16
130,60148.166666666664,3.1454491851332875e-15
131,60148.208333333336,2.510930763190389e-15
132,60148.25,-5.5698183350735516e-15
133,60148.291666666664,-1.5127895921427765e-15
134,60148.333333333336,1.6536643163678132e-15
135,60148.375,-3.7763954312482363e-16
136,60148.416666666664,4.8237236845015775e-15
137,60148.458333333336,-3.5094682914129857e-16
138,60148.5,-1.9577343787208214e-15
139,60148.541666666664,5.961764356996154e-15
140,60148.583333333336,2.7590808539489285e-15
141,60148.625,4.048919371936056e-15
142,60148.666666666664,5.144156807763091e-15
143,60148.708333333336,-5.345534191646122e-16
144,60148.75,1.9794457923851314e-15
145,60148.791666666664,1.505729088540804e-15
146,60148.833333333336,8.216178511001704e-16
147,60148.875,-2.5449687656834054e-15
148,60148.916666666664,-1.6078055988644099e-15
149,60148.958333333336,2.42199204372727e-16
150,60149.0,4.221077624320311e-15
151,60149.041666666664,-1.2581322384386883e-15
152,60149.083333333336,1.882649368161719e-17
153,60149.125,9.02424519712387e-16
154,60149.166666666664,2.8358238673527205e-15
155,60149.208333333336,-5.214951312459843e-15
156,60149.25,-4.1710336198997243e-16
157,60149.291666666664,3.4678431601476915e-15
158,60149.333333333336,3.928412915470968e-15
159,60149.375,-2.89547740966924e-15
160,60149.416666666664,3.273342217808153e-15
161,60149.458333333336,5.729205415300144e-16
162,60149.5,1.0009314911715602e-15
163,60149.541666666664,2.737973514310444e-15
164,60149.583333333336,3.2341173269675487e-16
165,60149.625,2.941616822441428e-15
166,60149.666666666664,6.145832226329898e-16
167,60149.708333333336,1.8890373157520275e-15
168,60149.75,-2.7441671922667834e-15
169,60149.791666666664,-5.886286699250256e-16
170,60149.833333333336,5.425834340177045e-16
171,60149.875,-1.5768132033052009e-15
172,60149.916666666664,4.09266706550646e-16
173,60149.958333333336,-6.168272970805973e-15
174,60150.0,2.9892792075036667e-15
175,60150.041666666664,2.034882517239726e-15
176,60150.083333333336,-2.83848045926867e-16
177,60150.125,6.993511452279615e-16
178,60150.166666666664,3.987960627389562e-15
179,60150.208333333336,-3.486427071384315e-15
180,60150.25,1.7563331560019505e-15
181,60150.291666666664,-1.0392958174474048e-15
182,60150.333333333336,-1.1007102438586883e-15
183,60150.375,-1.4147619208138526e-15
184,60150.416666666664,3.7811108471622104e-15
185,60150.458333333336,-2.100814058711717e-15
186,60150.5,6.146403917464177e-15
187,60150.541666666664,-6.456943911485031e-15
188,60150.583333333336,5.39499471606704e-15
189,60150.666666666664,3.747720972537237e-15
190,60150.708333333336,1.6313782914802166e-15
191,60150.75,2.2647857103277933e-15
192,60150.791666666664,-7.580098751148746e-16
193,60150.833333333336,2.7688038266215293e-15
194,60150.875,5.565976190623928e-15
195,60150.916666666664,2.6371725082763024e-16
196,60150.958333333336,5.4844453718268364e-15
197,60151.0,1.405416549244073e-15
198,60151.041666666664,-3.3241490602951724e-16
199,60151.083333333336,4.233967347466064e-15
200,60151.125,-1.3186056461800053e-15
201,60151.166666666664,-1.4633744902496373e-15
202,60151.208333333336,5.714206657635416e-16
203,60151.25,5.241760876899363e-15
204,60151.291666666664,-9.346130264759752e-16
205,60151.333333333336,-2.6291432148446837e-16
206,60151.375,-2.6647570145782948e-15
207,60151.416666666664,-6.72476115096008e-15
208,60151.458333333336,2.6319943698121655e-15
209,60151.5,4.4934721592201964e-15
210,60151.541666666664,3.1054747134944403e-15
211,60151.583333333336,3.75120283815389e-15
212,60151.625,1.756483667563487e-15
213,60151.666666666664,-2.4585870472581184e-15
214,60151.708333333336,-3.14867279422953e-16
215,60151.75,-5.541542212427981e-16
216,60151.791666666664,3.3816736211675194e-15
217,60151.833333333336,-1.1596822827062271e-15
218,60151.875,1.5826530193236402e-15
219,60151.916666666664,1.2321298766661032e-15
220,60152.0,-8.980916762768323e-15
221,60152.041666666664,-4.129080763881768e-15
222,60152.083333333336,3.982952555191235e-15
223,60152.125,-3.7618733266398966e-15
224,60152.166666666664,7.5377134936597215e-16
225,60152.208333333336,-5.802262248395247e-15
226,60152.25,4.0840027827101257e-16
227,60152.291666666664,7.7554970872327e-15
228,60152.333333333336,-1.481389376126392e-15
229,60152.375,2.0007188911134236e-15
230,60152.416666666664,2.428407756263588e-15
231,60152.5,9.247481462865598e-18
232,60152.541666666664,3.753447448233961e-15
233,60152.583333333336,-5.380063657843337e-16
234,60152.625,1.3184425425660207e-15
235,60152.666666666664,2.4722847684132465e-15
236,60152.708333333336,2.5525145828628568e-15
237,60152.75,5.986937221006651e-15
238,60152.791666666664,5.786130957254029e-15
239,60152.833333333336,-3.7256129777044815e-15
240,60152.875,3.779991116885691e-15
241,60152.916666666664,2.3055757051426385e-15
242,60152.958333333336,-4.117861742719262e-15
243,60153.0,-2.2000902788080325e-15
244,60153.041666666664,-3.8872192403708e-15
245,60153.083333333336,-6.633784748700222e-16
246,60153.125,1.3522544658420118e-16
247,60153.166666666664,-3.015837062170204e-15
248,60153.208333333336,-1.89508609061857e-15
249,60153.25,-6.457367302439128e-15
250,60153.291666666664,-1.837316291772278e-15
251,60153.333333333336,2.4418295363294923e-17
252,60153.375,-8.208569341794961e-15
253,60153.416666666664,2.137783090268525e-15
254,60153.458333333336,-2.7536601012565125e-15
255,60153.5,-1.032668633704287e-15
256,60153.541666666664,4.194104477616937e-15
257,60153.583333333336,5.587444255665695e-15
258,60153.625,1.9632158851703454e-15
259,60153.666666666664,-1.4752741026064975e-15
260,60153.708333333336,3.4746308445565317e-15
261,60153.75,-1.5415102456931327e-15
262,60153.791666666664,-3.2500164242426262e-15
263,60153.833333333336,-4.357537459276822e-15
264,60153.875,1.525035557800906e-15
265,60153.916666666664,-5.50278692964698e-16
266,60153.958333333336,5.26493241277631e-16
267,60154.0,-2.2778143553977293e-15
268,60154.041666666664,4.711199559298276e-16
269,60154.083333333336,2.1384304297817792e-15
270,60154.125,3.067908769060039e-15
271,60154.166666666664,-3.85750731204359e-15
