,Fit_max,IM_max,Ld,RW,Rescaled_LD
55,89,92,-4.199999999999999,0.2,2.535452613307108e-16
56,89,74,-3.999999999999999,0.2,2.414716774578198e-16
57,93,150,-3.799999999999999,0.2,2.2939809358492877e-16
58,102,90,-3.5999999999999988,0.2,2.173245097120378e-16
59,134,98,-3.3999999999999986,0.2,2.0525092583914678e-16
60,120,109,-3.1999999999999984,0.2,1.9317734196625578e-16
61,140,139,-2.9999999999999982,0.2,1.811037580933648e-16
62,143,156,-2.799999999999998,0.2,1.6903017422047378e-16
63,140,112,-2.599999999999998,0.2,1.5695659034758278e-16
64,155,153,-2.3999999999999977,0.2,1.4488300647469177e-16
65,159,124,-2.199999999999997,0.2,1.3280942260180074e-16
66,148,156,-1.9999999999999971,0.2,1.2073583872890975e-16
67,153,164,-1.7999999999999972,0.2,1.0866225485601876e-16
68,164,136,-1.599999999999997,0.2,9.658867098312776e-17
69,148,155,-1.3999999999999968,0.2,8.451508711023676e-17
70,152,163,-1.1999999999999966,0.2,7.244150323734575e-17
71,155,135,-0.9999999999999964,0.2,6.036791936445475e-17
72,153,169,-0.7999999999999963,0.2,4.8294335491563747e-17
73,145,167,-0.5999999999999961,0.2,3.6220751618672745e-17
74,164,150,-0.3999999999999959,0.2,2.4147167745781738e-17
75,162,156,-0.1999999999999957,0.2,1.2073583872890733e-17
76,162,157,4.440892098500626e-15,0.2,-2.68087416108531e-31
77,161,160,0.2000000000000046,0.2,-1.207358387289127e-17
78,147,139,0.4000000000000048,0.2,-2.4147167745782274e-17
79,159,169,0.600000000000005,0.2,-3.622075161867328e-17
80,158,150,0.8000000000000052,0.2,-4.829433549156428e-17
81,149,161,1.000000000000005,0.2,-6.036791936445527e-17
82,145,138,1.2000000000000055,0.2,-7.244150323734629e-17
83,150,160,1.4000000000000057,0.2,-8.451508711023729e-17
84,153,126,1.600000000000006,0.2,-9.658867098312831e-17
85,147,153,1.800000000000006,0.2,-1.086622548560193e-16
86,155,96,2.000000000000006,0.2,-1.207358387289103e-16
87,142,107,2.2000000000000064,0.2,-1.328094226018013e-16
88,116,93,2.4000000000000066,0.2,-1.448830064746923e-16
89,130,141,2.6000000000000068,0.2,-1.5695659034758332e-16
90,123,139,2.800000000000007,0.2,-1.6903017422047433e-16
91,97,90,3.000000000000007,0.2,-1.811037580933653e-16
92,94,103,3.2000000000000064,0.2,-1.9317734196625627e-16
93,89,107,3.4000000000000075,0.2,-2.0525092583914733e-16
94,87,100,3.6000000000000085,0.2,-2.1732450971203838e-16
95,80,91,3.800000000000008,0.2,-2.293980935849293e-16
96,83,98,4.000000000000007,0.2,-2.414716774578203e-16
97,85,92,4.200000000000008,0.2,-2.5354526133071133e-16
98,83,86,4.400000000000009,0.2,-2.656188452036024e-16
99,78,69,4.6000000000000085,0.2,-2.7769242907649335e-16
100,80,91,4.800000000000008,0.2,-2.897660129493843e-16
101,79,75,5.000000000000009,0.2,-3.0183959682227536e-16
102,85,105,-5.0,0.3,3.018395968222748e-16
103,79,75,-4.8,0.3,2.8976601294938384e-16
104,80,94,-4.6,0.3,2.776924290764928e-16
105,83,90,-4.4,0.3,2.6561884520360187e-16
106,77,74,-4.199999999999999,0.3,2.535452613307108e-16
107,73,83,-3.999999999999999,0.3,2.414716774578198e-16
108,83,77,-3.799999999999999,0.3,2.2939809358492877e-16
109,82,89,-3.5999999999999988,0.3,2.173245097120378e-16
110,120,111,-3.3999999999999986,0.3,2.0525092583914678e-16
111,87,99,-3.1999999999999984,0.3,1.9317734196625578e-16
112,95,89,-2.9999999999999982,0.3,1.811037580933648e-16
113,130,103,-2.799999999999998,0.3,1.6903017422047378e-16
114,108,81,-2.599999999999998,0.3,1.5695659034758278e-16
115,123,101,-2.3999999999999977,0.3,1.4488300647469177e-16
116,100,152,-2.199999999999997,0.3,1.3280942260180074e-16
117,143,137,-1.9999999999999971,0.3,1.2073583872890975e-16
118,140,107,-1.7999999999999972,0.3,1.0866225485601876e-16
119,152,150,-1.599999999999997,0.3,9.658867098312776e-17
120,151,135,-1.3999999999999968,0.3,8.451508711023676e-17
121,132,115,-1.1999999999999966,0.3,7.244150323734575e-17
122,148,139,-0.9999999999999964,0.3,6.036791936445475e-17
123,142,163,-0.7999999999999963,0.3,4.8294335491563747e-17
124,153,136,-0.5999999999999961,0.3,3.6220751618672745e-17
125,165,116,-0.3999999999999959,0.3,2.4147167745781738e-17
126,151,143,-0.1999999999999957,0.3,1.2073583872890733e-17
127,140,123,4.440892098500626e-15,0.3,-2.68087416108531e-31
128,136,116,0.2000000000000046,0.3,-1.207358387289127e-17
129,169,155,0.4000000000000048,0.3,-2.4147167745782274e-17
130,105,102,0.600000000000005,0.3,-3.622075161867328e-17
131,136,122,0.8000000000000052,0.3,-4.829433549156428e-17
132,150,102,1.000000000000005,0.3,-6.036791936445527e-17
133,145,129,1.2000000000000055,0.3,-7.244150323734629e-17
134,103,127,1.4000000000000057,0.3,-8.451508711023729e-17
135,133,85,1.600000000000006,0.3,-9.658867098312831e-17
136,123,95,1.800000000000006,0.3,-1.086622548560193e-16
137,98,122,2.000000000000006,0.3,-1.207358387289103e-16
138,132,108,2.2000000000000064,0.3,-1.328094226018013e-16
139,73,90,2.4000000000000066,0.3,-1.448830064746923e-16
140,85,80,2.6000000000000068,0.3,-1.5695659034758332e-16
141,91,122,2.800000000000007,0.3,-1.6903017422047433e-16
142,87,107,3.000000000000007,0.3,-1.811037580933653e-16
143,88,65,3.2000000000000064,0.3,-1.9317734196625627e-16
144,79,72,3.4000000000000075,0.3,-2.0525092583914733e-16
