Fit_max,IM_max,Ld,RW
21,30,3.800000000000008,0.4
19,27,4.000000000000007,0.4
19,16,4.200000000000008,0.4
18,18,4.400000000000009,0.4
17,16,4.6000000000000085,0.4
16,17,4.800000000000008,0.4
16,16,5.000000000000009,0.4
16,15,-5.0,0.5
16,16,-4.8,0.5
17,17,-4.6,0.5
17,15,-4.3999999999999995,0.5
18,21,-4.199999999999999,0.5
19,22,-3.999999999999999,0.5
21,18,-3.799999999999999,0.5
21,19,-3.5999999999999988,0.5
22,24,-3.3999999999999986,0.5
23,23,-3.1999999999999984,0.5
24,18,-2.9999999999999982,0.5
25,23,-2.799999999999998,0.5
27,22,-2.599999999999998,0.5
28,28,-2.3999999999999977,0.5
29,30,-2.1999999999999975,0.5
30,27,-1.9999999999999973,0.5
32,31,-1.7999999999999972,0.5
35,24,-1.599999999999997,0.5
38,39,-1.3999999999999968,0.5
40,43,-1.1999999999999966,0.5
41,43,-0.9999999999999964,0.5
49,57,-0.7999999999999963,0.5
52,53,-0.5999999999999961,0.5
57,69,-0.3999999999999959,0.5
64,63,-0.19999999999999574,0.5
54,46,4.440892098500626e-15,0.5
60,72,0.20000000000000462,0.5
54,42,0.4000000000000048,0.5
50,64,0.600000000000005,0.5
46,40,0.8000000000000052,0.5
46,54,1.0000000000000053,0.5
43,43,1.2000000000000055,0.5
39,37,1.4000000000000057,0.5
36,42,1.6000000000000059,0.5
33,36,1.800000000000006,0.5
31,34,2.000000000000006,0.5
29,27,2.2000000000000064,0.5
27,26,2.4000000000000066,0.5
26,25,2.6000000000000068,0.5
26,25,2.800000000000007,0.5
24,35,3.000000000000007,0.5
24,24,3.2000000000000064,0.5
21,16,3.4000000000000075,0.5
21,19,3.6000000000000085,0.5
20,14,3.800000000000008,0.5
18,19,4.000000000000007,0.5
18,15,4.200000000000008,0.5
18,17,4.400000000000009,0.5
16,20,4.6000000000000085,0.5
16,15,4.800000000000008,0.5
16,21,5.000000000000009,0.5
15,16,-5.0,0.6
15,20,-4.8,0.6
17,15,-4.6,0.6
16,20,-4.3999999999999995,0.6
17,17,-4.199999999999999,0.6
18,21,-3.999999999999999,0.6
18,18,-3.799999999999999,0.6
20,22,-3.5999999999999988,0.6
20,19,-3.3999999999999986,0.6
22,24,-3.1999999999999984,0.6
23,26,-2.9999999999999982,0.6
23,26,-2.799999999999998,0.6
24,26,-2.599999999999998,0.6
26,31,-2.3999999999999977,0.6
27,30,-2.1999999999999975,0.6
29,31,-1.9999999999999973,0.6
31,35,-1.7999999999999972,0.6
34,27,-1.599999999999997,0.6
34,39,-1.3999999999999968,0.6
38,29,-1.1999999999999966,0.6
40,32,-0.9999999999999964,0.6
45,49,-0.7999999999999963,0.6
44,55,-0.5999999999999961,0.6
49,38,-0.3999999999999959,0.6
49,36,-0.19999999999999574,0.6
51,33,4.440892098500626e-15,0.6
47,51,0.20000000000000462,0.6
49,43,0.4000000000000048,0.6
44,49,0.600000000000005,0.6
39,36,0.8000000000000052,0.6
40,35,1.0000000000000053,0.6
37,31,1.2000000000000055,0.6
34,30,1.4000000000000057,0.6
31,33,1.6000000000000059,0.6
29,27,1.800000000000006,0.6
29,25,2.000000000000006,0.6
26,25,2.2000000000000064,0.6
26,28,2.4000000000000066,0.6
25,22,2.6000000000000068,0.6
24,25,2.800000000000007,0.6
22,19,3.000000000000007,0.6
23,23,3.2000000000000064,0.6
20,21,3.4000000000000075,0.6
18,21,3.6000000000000085,0.6
19,23,3.800000000000008,0.6
17,20,4.000000000000007,0.6
17,20,4.200000000000008,0.6
16,22,4.400000000000009,0.6
14,20,4.6000000000000085,0.6
15,17,4.800000000000008,0.6
14,16,5.000000000000009,0.6
14,15,-5.0,0.7000000000000001
16,22,-4.8,0.7000000000000001
