% File initiated 17/09/2022 18:29:37 UTC
% Raw fountain data
%
%% fountain_code = ALPHACsF1
%% microwave_ref = HM6
%% MJD_start = 59839.770575
%% clock_data = True
%% sequence = 1
%% density = HD
%
%Units: V.s, Hz
%
% MJD days	MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2
59839	66580	0.00972000	0.04449924	0.47583679	0.04433837	0.44668726	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66583	0.01512000	0.04407804	0.47285779	0.04442393	0.45666883	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66586	0.00775000	0.04488953	0.46042149	0.04449787	0.48251886	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66590	0.00626000	0.04499145	0.47244683	0.04466964	0.47691893	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66593	0.00232000	0.04495567	0.46195307	0.04507638	0.47378098	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66596	0.00765000	0.04493958	0.46362696	0.04480100	0.44764954	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66599	0.00106000	0.04507140	0.45140469	0.04560270	0.47118541	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66603	0.00490000	0.04447047	0.46899624	0.04510081	0.45747316	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66606	0.00600000	0.04461232	0.47828717	0.04513794	0.47497812	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66609	0.00100000	0.04478019	0.46892977	0.04514830	0.48393697	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66612	0.00538000	0.04486298	0.46228837	0.04521877	0.44915224	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66615	0.00680000	0.04483456	0.45825126	0.04513131	0.45400367	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66619	0.01517000	0.04470492	0.48082707	0.04494854	0.45571578	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66622	0.00269000	0.04469166	0.44881970	0.04493870	0.48626772	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66625	0.00000000	0.04468259	0.45935611	0.04485813	0.46742771	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66628	0.00091000	0.04498337	0.45828759	0.04518950	0.45555435	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66632	0.00958000	0.04530400	0.47319621	0.04519741	0.44717839	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66635	0.01074000	0.04520370	0.46682111	0.04499530	0.46333908	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66638	-0.00435000	0.04546206	0.43860614	0.04477527	0.48388253	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66641	0.00288000	0.04529691	0.46076112	0.04547083	0.43905890	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66644	0.01428000	0.04511626	0.49374800	0.04508959	0.45954462	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66648	0.00563000	0.04545377	0.44904115	0.04488097	0.47497730	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66651	0.00993000	0.04542143	0.46810567	0.04503001	0.45522025	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66654	0.01311000	0.04490500	0.47141064	0.04533265	0.46188335	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
59839	66657	0.01149000	0.04530986	0.46209520	0.04532800	0.46695130	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
