% File initiated 20/09/2022 08:32:49 UTC
% Raw fountain data
%
% File notes: CERN_SNR_ off res VNA reference
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59842.356133
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot 2 MJD days	Shot 2 MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot 1 MJD days	Shot 1 MJD seconds	Shot order (0=LF->HF)
59842	31292	-0.00715213	0.03164737	0.46327284	0.03163035	0.49469098	0.63344462	0.63320254	0.34543738	0.34439002	0.63345900	0.63337009	0.34548964	0.34441862	59842	31290	0
59842	31295	0.00501740	0.03158725	0.47823437	0.03149040	0.44172580	0.63389262	0.63332243	0.34462347	0.34447252	0.63403453	0.63347404	0.34493753	0.34453884	59842	31293	0
59842	31298	0.00491753	0.03180540	0.45758653	0.03174645	0.45788614	0.63358332	0.63327206	0.34551939	0.34447507	0.63361981	0.63331356	0.34547847	0.34446767	59842	31297	0
59842	31302	0.00997828	0.03202057	0.48316698	0.03174619	0.46798472	0.63401456	0.63330772	0.34475018	0.34442445	0.63394110	0.63337091	0.34503959	0.34448641	59842	31300	0
59842	31305	0.00385301	0.03147628	0.46188408	0.03162315	0.48025990	0.63389147	0.63341150	0.34495175	0.34452708	0.63398827	0.63332506	0.34474180	0.34445864	59842	31303	0
59842	31308	0.00141739	0.03141709	0.46168756	0.03143732	0.46899443	0.63388999	0.63351027	0.34508799	0.34455494	0.63367338	0.63336861	0.34566286	0.34455026	59842	31307	0
59842	31311	-0.00388972	0.03143942	0.44628700	0.03134514	0.46220833	0.63362129	0.63334010	0.34562095	0.34452569	0.63359631	0.63343961	0.34556935	0.34456373	59842	31310	0
59842	31315	-0.01034508	0.03166155	0.44837254	0.03162306	0.46773861	0.63389911	0.63333122	0.34505331	0.34446817	0.63392779	0.63354963	0.34513828	0.34461945	59842	31313	0
59842	31318	0.00345187	0.03161583	0.49404746	0.03186011	0.45265661	0.63376082	0.63348119	0.34552506	0.34458995	0.63386805	0.63343213	0.34525365	0.34458748	59842	31316	0
59842	31321	-0.01212701	0.03153759	0.45416693	0.03161411	0.50090357	0.63383633	0.63351340	0.34548069	0.34467023	0.63389960	0.63347979	0.34531536	0.34469159	59842	31320	0
59842	31325	0.00736012	0.03146413	0.50097186	0.03146513	0.44251046	0.63412820	0.63378374	0.34501050	0.34489604	0.63375736	0.63355202	0.34569269	0.34474952	59842	31323	0
59842	31328	-0.00859071	0.03154885	0.44869513	0.03134235	0.49654762	0.63407159	0.63358636	0.34565448	0.34471468	0.63428753	0.63366771	0.34499341	0.34469776	59842	31326	0
59842	31331	0.01044988	0.03160536	0.51069342	0.03158026	0.45357164	0.63433191	0.63368070	0.34528479	0.34470868	0.63378152	0.63365416	0.34570649	0.34476341	59842	31329	0
59842	31334	0.01606050	0.03137464	0.49428193	0.03150982	0.47745007	0.63423429	0.63366681	0.34520878	0.34470047	0.63429230	0.63377824	0.34497328	0.34462627	59842	31333	0
59842	31338	-0.01048950	0.03176942	0.41833424	0.03143971	0.49798425	0.63404283	0.63368292	0.34562021	0.34471937	0.63386846	0.63372261	0.34580493	0.34473991	59842	31336	0
59842	31341	-0.01000377	0.03168936	0.46923077	0.03142165	0.46777355	0.63436831	0.63381143	0.34532883	0.34485815	0.63399854	0.63385581	0.34594167	0.34490705	59842	31339	0
59842	31344	0.00872366	0.03139883	0.50117613	0.03154488	0.44499386	0.63451655	0.63381858	0.34513022	0.34479694	0.63407233	0.63378810	0.34577880	0.34484041	59842	31342	0
59842	31347	0.00353720	0.03129776	0.46710808	0.03145359	0.48266746	0.63417734	0.63376772	0.34580707	0.34489480	0.63404225	0.63376796	0.34579491	0.34486054	59842	31346	0
59842	31351	-0.01937599	0.03119595	0.43410622	0.03109636	0.50284578	0.63410774	0.63383329	0.34573632	0.34481501	0.63431851	0.63393181	0.34572137	0.34481715	59842	31349	0
59842	31354	-0.00793069	0.03141828	0.47463600	0.03152180	0.44030010	0.63445443	0.63389780	0.34532850	0.34479579	0.63450471	0.63391029	0.34515537	0.34480877	59842	31352	0
59842	31357	-0.00765006	0.03154116	0.46183874	0.03155323	0.46099687	0.63455007	0.63396493	0.34512168	0.34490885	0.63433725	0.63397117	0.34548800	0.34485824	59842	31356	0
59842	31360	-0.00481797	0.03150435	0.47901451	0.03157338	0.47051823	0.63454794	0.63386139	0.34523146	0.34491272	0.63438113	0.63393905	0.34559573	0.34502480	59842	31359	0
59842	31364	0.00106918	0.03178631	0.48218280	0.03186220	0.46452137	0.63445927	0.63395038	0.34529983	0.34494312	0.63455574	0.63389878	0.34525430	0.34495027	59842	31362	0
59842	31367	0.00146530	0.03180473	0.46809774	0.03164752	0.46690936	0.63439132	0.63400404	0.34566508	0.34492644	0.63451096	0.63393198	0.34538455	0.34491551	59842	31365	0
59842	31370	0.01162761	0.03148712	0.49129172	0.03155954	0.46080480	0.63459642	0.63400906	0.34547666	0.34496021	0.63423084	0.63392647	0.34589269	0.34494961	59842	31369	0
59842	31373	0.01739868	0.03152925	0.49686139	0.03152128	0.47954819	0.63436864	0.63421021	0.34593583	0.34510672	0.63458713	0.63408925	0.34571570	0.34494895	59842	31372	0
59842	31377	0.00104576	0.03157933	0.44814778	0.03179069	0.49720652	0.63449206	0.63405811	0.34563221	0.34497903	0.63451942	0.63404455	0.34547247	0.34501444	59842	31375	0
