% File initiated 20/09/2022 08:32:49 UTC
% Raw fountain data
%
% File notes: CERN_SNR_ off res VNA reference
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59842.356133
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot 2 MJD days	Shot 2 MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot 1 MJD days	Shot 1 MJD seconds	Shot order (0=LF->HF)
59842	30985	-0.00028740	0.03136272	0.46616681	0.03148378	0.45424007	0.63527080	0.63436765	0.34609648	0.34543500	0.63465985	0.63439263	0.34630478	0.34534847	59842	30983	0
59842	30988	0.00412676	0.03127971	0.48124133	0.03140929	0.46799884	0.63467990	0.63433561	0.34648729	0.34532694	0.63486249	0.63428548	0.34572925	0.34550312	59842	30987	0
59842	30992	-0.00259383	0.03133340	0.46550618	0.03084809	0.48566796	0.63459666	0.63425179	0.34648597	0.34534428	0.63442575	0.63402212	0.34562950	0.34499670	59842	30990	0
59842	30995	0.00608470	0.03145732	0.47647373	0.03151276	0.45043814	0.63473496	0.63406789	0.34548619	0.34506547	0.63492034	0.63411785	0.34558603	0.34532448	59842	30993	0
59842	30998	-0.00411699	0.03185458	0.45901451	0.03164803	0.48961956	0.63448056	0.63417438	0.34629320	0.34522242	0.63449798	0.63408235	0.34577708	0.34517640	59842	30996	0
59842	31001	0.00937472	0.03151381	0.48293489	0.03159424	0.44245977	0.63438146	0.63421752	0.34617101	0.34519448	0.63450389	0.63406288	0.34626033	0.34517484	59842	31000	0
59842	31005	0.01121772	0.03137935	0.46732501	0.03169338	0.46179599	0.63462049	0.63416222	0.34607281	0.34519440	0.63478903	0.63412015	0.34582630	0.34527419	59842	31003	0
59842	31008	-0.00413617	0.03157022	0.45806179	0.03150246	0.50412347	0.63454186	0.63423963	0.34606797	0.34524650	0.63458771	0.63444054	0.34623017	0.34534395	59842	31006	0
59842	31011	-0.00676482	0.03167020	0.45715712	0.03145806	0.46504308	0.63473710	0.63410372	0.34545094	0.34523031	0.63450340	0.63442147	0.34606583	0.34543393	59842	31009	0
59842	31014	-0.01012618	0.03164851	0.46704883	0.03187353	0.47713290	0.63373074	0.63351693	0.34549268	0.34439923	0.63464071	0.63348242	0.34509859	0.34441632	59842	31013	0
59842	31018	0.00618062	0.03140653	0.48491356	0.03202426	0.43599314	0.63376040	0.63319712	0.34437490	0.34412732	0.63349787	0.63327756	0.34511543	0.34430489	59842	31016	0
59842	31021	0.00613460	0.03148240	0.45077706	0.03179053	0.45091512	0.63366788	0.63319416	0.34441632	0.34425099	0.63376229	0.63301462	0.34443637	0.34422527	59842	31019	0
59842	31024	0.01446680	0.03159551	0.48582562	0.03132102	0.46082901	0.63365120	0.63322046	0.34489439	0.34421590	0.63342506	0.63327115	0.34542062	0.34437811	59842	31023	0
59842	31027	-0.00451976	0.03191876	0.42788679	0.03175491	0.48484648	0.63349819	0.63324971	0.34523014	0.34428747	0.63367684	0.63325875	0.34487722	0.34432149	59842	31026	0
59842	31031	0.00303494	0.03188975	0.48071280	0.03178183	0.45804870	0.63374479	0.63318052	0.34477639	0.34433349	0.63362310	0.63330936	0.34501329	0.34433801	59842	31029	0
59842	31034	0.01172815	0.03159048	0.47890665	0.03178863	0.45282701	0.63353082	0.63318800	0.34510812	0.34435641	0.63376517	0.63326894	0.34472191	0.34439364	59842	31032	0
59842	31037	-0.00773492	0.03165797	0.43375154	0.03164679	0.49214073	0.63346089	0.63319630	0.34533204	0.34428238	0.63348119	0.63323459	0.34539473	0.34434245	59842	31036	0
59842	31040	-0.01034396	0.03188492	0.46627997	0.03191376	0.47410709	0.63381653	0.63324355	0.34475823	0.34431393	0.63387503	0.63333418	0.34473761	0.34435584	59842	31039	0
59842	31044	0.01264458	0.03170166	0.50262778	0.03227415	0.43366217	0.63391719	0.63327682	0.34478009	0.34431952	0.63390864	0.63326885	0.34469554	0.34435970	59842	31042	0
59842	31047	0.00056281	0.03162709	0.44575156	0.03169024	0.48199686	0.63392434	0.63338998	0.34515315	0.34443218	0.63364454	0.63349992	0.34535858	0.34448772	59842	31045	0
59842	31050	0.00447829	0.03180765	0.48398055	0.03172512	0.47223413	0.63402919	0.63340353	0.34481937	0.34447450	0.63393428	0.63348390	0.34490532	0.34449438	59842	31049	0
59842	31054	-0.00698142	0.03177632	0.47124681	0.03166273	0.50562594	0.63377922	0.63346483	0.34547469	0.34442191	0.63366648	0.63341446	0.34545160	0.34441993	59842	31052	0
